algorithm,size,obstacle_rate,seed,found,path_cost,visited_nodes,runtime_ms
Dijkstra,200,0.3,6,True,398,27372,30.534104007529095
A*,200,0.3,6,True,398,6256,9.320021003077272
Dijkstra,200,0.3,7,False,,1,0.0006045011105015874
A*,200,0.3,7,False,,1,0.0005830006557516754
Dijkstra,200,0.3,8,False,,6,0.004040994099341333
A*,200,0.3,8,False,,6,0.004458997864276171
Dijkstra,200,0.3,9,True,402,27376,30.14972850360209
A*,200,0.3,9,True,402,8419,12.703937507467344
Dijkstra,200,0.3,10,True,406,27297,30.64135399472434
A*,200,0.3,10,True,406,11810,18.091167003149167
Dijkstra,200,0.3,11,False,,27263,30.34777099674102
A*,200,0.3,11,False,,27263,40.500770999642555
Dijkstra,200,0.3,12,False,,27464,30.814707999525126
A*,200,0.3,12,False,,27464,40.82135450153146
Dijkstra,200,0.3,13,True,398,27451,30.698708498675842
A*,200,0.3,13,True,398,3840,5.43012499838369
Dijkstra,200,0.3,14,False,,18,0.012562501069623977
A*,200,0.3,14,False,,18,0.014354496670421213
Dijkstra,200,0.3,15,True,398,27564,31.035562496981584
A*,200,0.3,15,True,398,3271,4.635520504962187
Dijkstra,200,0.3,16,True,398,27381,29.97402099572355
A*,200,0.3,16,True,398,3713,5.245645494142082
Dijkstra,200,0.3,17,False,,48,0.03375000233063474
A*,200,0.3,17,False,,48,0.03866699989885092
Dijkstra,200,0.3,18,False,,27232,30.504957991070114
A*,200,0.3,18,False,,27232,40.41558300377801
Dijkstra,200,0.3,19,False,,27316,29.897645494202152
A*,200,0.3,19,False,,27316,40.057729005638976
Dijkstra,200,0.3,20,True,406,27212,30.257250000431668
A*,200,0.3,20,True,406,2897,3.9438540043192916
Dijkstra,200,0.3,21,True,398,27414,30.173000501235947
A*,200,0.3,21,True,398,6344,10.082187502121087
Dijkstra,200,0.3,22,False,,3,0.0017915008356794715
A*,200,0.3,22,False,,3,0.0019584986148402095
Dijkstra,200,0.3,23,False,,27448,32.037333003245294
A*,200,0.3,23,False,,27448,41.97733299952233
Dijkstra,200,0.3,24,True,398,27338,30.95793750253506
A*,200,0.3,24,True,398,3739,5.36618749902118
Dijkstra,200,0.3,25,False,,4,0.002334003511350602
A*,200,0.3,25,False,,4,0.002562999725341797
Dijkstra,200,0.3,26,False,,27433,30.052895497647114
A*,200,0.3,26,False,,27433,39.81366650259588
Dijkstra,200,0.3,27,False,,27546,30.31947900308296
A*,200,0.3,27,False,,27546,40.5115419998765
Dijkstra,200,0.3,28,False,,1,0.0006044938345439732
A*,200,0.3,28,False,,1,0.0005830006557516754
Dijkstra,200,0.3,29,False,,4,0.002416003553662449
A*,200,0.3,29,False,,4,0.0026670022634789348
