algorithm,size,obstacle_rate,seed,found,path_cost,visited_nodes,runtime_ms
Dijkstra,50,0.2,18,True,98,2031,1.9641454928205349
A*,50,0.2,18,True,98,1393,1.748354006849695
Dijkstra,50,0.2,19,True,98,1990,1.902291493024677
A*,50,0.2,19,True,98,1027,1.2556869987747632
Dijkstra,50,0.2,20,True,98,1949,1.8490419970476069
A*,50,0.2,20,True,98,1375,1.7000834995997138
Dijkstra,50,0.2,21,True,98,2014,1.918082998599857
A*,50,0.2,21,True,98,1120,1.3876879966119304
Dijkstra,50,0.2,22,True,98,1989,1.893521002784837
A*,50,0.2,22,True,98,1325,1.6626875003566965
Dijkstra,50,0.2,23,True,98,1989,1.9379789955564775
A*,50,0.2,23,True,98,1202,1.4983545042923652
Dijkstra,50,0.2,24,True,98,2013,1.9502915019984357
A*,50,0.2,24,True,98,991,1.2247084960108623
Dijkstra,50,0.2,25,True,98,1988,1.9122914964100346
A*,50,0.2,25,True,98,1268,1.5916249976726249
Dijkstra,50,0.2,26,True,98,1999,1.9384999977773987
A*,50,0.2,26,True,98,1323,1.676666499406565
Dijkstra,50,0.2,27,True,98,2012,1.9334789976710454
A*,50,0.2,27,True,98,1389,1.733999997668434
Dijkstra,50,0.2,28,False,,1,0.0006249902071431279
A*,50,0.2,28,False,,1,0.0005839974619448185
Dijkstra,50,0.2,29,True,98,1998,1.9190005114069209
A*,50,0.2,29,True,98,1345,1.6636665022815578
Dijkstra,50,0.3,0,True,100,1681,1.5773124978295527
A*,50,0.3,0,True,100,453,0.5214375050854869
Dijkstra,50,0.3,1,True,102,1726,1.6273334986180998
A*,50,0.3,1,True,102,1135,1.3557705024140887
Dijkstra,50,0.3,2,True,100,1744,1.6351459926227108
A*,50,0.3,2,True,100,809,0.9714585030451417
Dijkstra,50,0.3,3,True,102,1720,1.6309374987031333
A*,50,0.3,3,True,102,788,0.9238125057891011
Dijkstra,50,0.3,4,False,,1,0.000583502696827054
A*,50,0.3,4,False,,1,0.0005625042831525207
Dijkstra,50,0.3,5,True,98,1679,1.5603539941366762
A*,50,0.3,5,True,98,566,0.6809585029259324
Dijkstra,50,0.3,6,False,,9,0.006250003934837878
A*,50,0.3,6,False,,9,0.006874994141981006
Dijkstra,50,0.3,7,False,,2,0.0012500022421590984
A*,50,0.3,7,False,,2,0.0012920063454657793
Dijkstra,50,0.3,8,True,98,1677,1.5996875008568168
A*,50,0.3,8,True,98,584,0.6914374971529469
Dijkstra,50,0.3,9,True,106,1703,1.6417709994129837
A*,50,0.3,9,True,106,636,0.7642295022378676
Dijkstra,50,0.3,10,True,98,1740,1.6342500020982698
A*,50,0.3,10,True,98,760,0.9351454937132075
Dijkstra,50,0.3,11,True,104,1735,1.6240834956988692
A*,50,0.3,11,True,104,420,0.4767500067828223
Dijkstra,50,0.3,12,False,,1667,1.6005414945539087
A*,50,0.3,12,False,,1667,1.9493750005494803
Dijkstra,50,0.3,13,True,98,1727,1.608562502951827
A*,50,0.3,13,True,98,926,1.1182084999745712
Dijkstra,50,0.3,14,True,110,1678,1.5751460014143959
A*,50,0.3,14,True,110,602,0.6740415046806447
Dijkstra,50,0.3,15,True,98,1706,1.5853959994274192
A*,50,0.3,15,True,98,648,0.7657710011699237
Dijkstra,50,0.3,16,False,,11,0.007624999852851033
A*,50,0.3,16,False,,11,0.009083501936402172
Dijkstra,50,0.3,17,False,,7,0.004812995030079037
A*,50,0.3,17,False,,7,0.005333000444807112
Dijkstra,50,0.3,18,True,100,1706,1.6025414952309802
A*,50,0.3,18,True,100,407,0.47664599696872756
Dijkstra,50,0.3,19,False,,26,0.01937500201165676
A*,50,0.3,19,False,,26,0.02256249717902392
Dijkstra,50,0.3,20,True,98,1641,1.519249999546446
A*,50,0.3,20,True,98,831,1.0224584984825924
Dijkstra,50,0.3,21,True,102,1734,1.6107289993669838
A*,50,0.3,21,True,102,826,0.9789999967324547
Dijkstra,50,0.3,22,True,100,1731,1.613812506548129
A*,50,0.3,22,True,100,496,0.5850204979651608
Dijkstra,50,0.3,23,True,98,1682,1.5662080040783621
A*,50,0.3,23,True,98,465,0.5531245042220689
Dijkstra,50,0.3,24,False,,3,0.0018330028979107738
A*,50,0.3,24,False,,3,0.0019585058907978237
Dijkstra,50,0.3,25,False,,16,0.011187003110535443
A*,50,0.3,25,False,,16,0.012854005035478622
Dijkstra,50,0.3,26,False,,1,0.0006045011105015874
A*,50,0.3,26,False,,1,0.0005620095180347562
Dijkstra,50,0.3,27,False,,11,0.007750510121695697
A*,50,0.3,27,False,,11,0.008917006198316813
Dijkstra,50,0.3,28,False,,1,0.0006459958967752755
A*,50,0.3,28,False,,1,0.0005830079317092896
Dijkstra,50,0.3,29,False,,28,0.019166996935382485
A*,50,0.3,29,False,,28,0.022541004000231624
Dijkstra,100,0.1,0,True,198,8974,9.52741650689859
A*,100,0.1,0,True,198,7904,10.426062006445136
Dijkstra,100,0.1,1,True,198,8958,9.444833507586736
A*,100,0.1,1,True,198,7278,9.666958496381994
Dijkstra,100,0.1,2,True,198,8990,9.436353997443803
A*,100,0.1,2,True,198,7753,10.590083002171014
Dijkstra,100,0.1,3,True,198,9022,9.368853992782533
A*,100,0.1,3,True,198,8278,11.036604002583772
Dijkstra,100,0.1,4,True,198,9016,9.51233349769609
A*,100,0.1,4,True,198,7892,10.535417000937741
Dijkstra,100,0.1,5,True,198,9044,9.69214599172119
A*,100,0.1,5,True,198,7898,10.563604497292545
Dijkstra,100,0.1,6,True,198,8984,9.557458004564978
A*,100,0.1,6,True,198,8387,11.233188000915106
Dijkstra,100,0.1,7,True,198,9017,9.509562500170432
A*,100,0.1,7,True,198,7804,10.344625501602422
Dijkstra,100,0.1,8,True,198,8996,9.519875500700437
A*,100,0.1,8,True,198,7865,10.693312498915475
Dijkstra,100,0.1,9,True,198,8918,9.379500501381699
A*,100,0.1,9,True,198,7215,9.681354000349529
Dijkstra,100,0.1,10,True,198,9003,9.451562502363231
A*,100,0.1,10,True,198,7735,10.286292003002018
Dijkstra,100,0.1,11,True,198,8985,9.457521009608172
A*,100,0.1,11,True,198,8021,10.609749500872567
Dijkstra,100,0.1,12,True,198,9060,9.544145497784484
A*,100,0.1,12,True,198,8365,11.166958502144553
Dijkstra,100,0.1,13,True,198,8993,9.331416498753242
A*,100,0.1,13,True,198,7909,10.576979504548945
Dijkstra,100,0.1,14,True,198,9026,9.640624994062819
A*,100,0.1,14,True,198,7784,10.242666998237837
Dijkstra,100,0.1,15,True,198,9006,9.694667009171098
A*,100,0.1,15,True,198,7568,10.08468700456433
Dijkstra,100,0.1,16,True,198,8998,9.396687004482374
A*,100,0.1,16,True,198,7783,10.330603996408172
Dijkstra,100,0.1,17,True,198,9032,9.485520502494182
A*,100,0.1,17,True,198,8268,10.787812498165295
Dijkstra,100,0.1,18,True,198,8991,9.291207999922335
A*,100,0.1,18,True,198,8365,11.092458495113533
Dijkstra,100,0.1,19,True,198,9000,9.458270498726051
A*,100,0.1,19,True,198,7690,10.213957997621037
Dijkstra,100,0.1,20,True,198,8940,9.474457998294383
A*,100,0.1,20,True,198,7438,10.07262500206707
Dijkstra,100,0.1,21,True,198,8980,9.455187995627057
A*,100,0.1,21,True,198,6893,9.14681200083578
Dijkstra,100,0.1,22,True,198,9032,9.382395997818094
A*,100,0.1,22,True,198,7380,9.782875000382774
Dijkstra,100,0.1,23,True,198,8983,9.475811995798722
A*,100,0.1,23,True,198,7588,10.384937500930391
Dijkstra,100,0.1,24,True,198,8988,9.49770849547349
A*,100,0.1,24,True,198,7694,10.193228998105042
Dijkstra,100,0.1,25,True,198,9004,9.576645505148917
A*,100,0.1,25,True,198,7525,10.14714650955284
Dijkstra,100,0.1,26,True,198,8992,9.407291501702275
A*,100,0.1,26,True,198,8042,10.735750001913402
Dijkstra,100,0.1,27,True,198,9019,9.421229500730988
A*,100,0.1,27,True,198,7501,9.975041997677181
Dijkstra,100,0.1,28,True,198,8982,9.335853996162768
A*,100,0.1,28,True,198,7922,10.685687499062624
Dijkstra,100,0.1,29,True,198,9000,9.50456250575371
